index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
197,2024-06-01,2024-06-01,7,"Transport, communications and information services",71011,2024,6,71218.25472324346,71123.54166666666,-1386.2451792273641
198,2024-07-01,2024-07-01,7,"Transport, communications and information services",70465,2024,7,71012.72301368463,71104.70833333333,-1575.578796713453
199,2024-08-01,2024-08-01,7,"Transport, communications and information services",70208,2024,8,70992.65928819444,71014.49999999999,-1578.8730275293346
200,2024-09-01,2024-09-01,7,"Transport, communications and information services",69920,2024,9,70479.83820976307,70861.95833333333,-2074.4726751060953
201,2024-10-01,2024-10-01,7,"Transport, communications and information services",70021,2024,10,70233.73128574346,,-2303.013515849787
202,2024-11-01,2024-11-01,7,"Transport, communications and information services",69898,2024,11,69988.01513991013,,-2530.9102030112845
203,2024-12-01,2024-12-01,7,"Transport, communications and information services",72638,2024,12,72416.06201491013,,-84.86400080291787
204,2025-01-01,2025-01-01,7,"Transport, communications and information services",71735,2025,1,71345.06982741013,,-1137.7309707893291
205,2025-02-01,2025-02-01,7,"Transport, communications and information services",70778,2025,2,70323.30420241013,,-2141.298811386965
206,2025-03-01,2025-03-01,7,"Transport, communications and information services",69532,2025,3,68814.69222324346,,-3631.6849838906055
0,2008-01-01,2008-01-01,8,Financial intermediation,15610,2008,1,15583.700188929739,,-957.1618443652951
1,2008-02-01,2008-02-01,8,Financial intermediation,17487,2008,2,17664.187168096403,,1022.8461959225097
2,2008-03-01,2008-03-01,8,Financial intermediation,17856,2008,3,17876.75227226307,,1134.9397467183808
3,2008-04-01,2008-04-01,8,Financial intermediation,17989,2008,4,18033.08300142974,,1190.805801198614
4,2008-05-01,2008-05-01,8,Financial intermediation,18063,2008,5,18076.976230596407,,1134.2319702883942
5,2008-06-01,2008-06-01,8,Financial intermediation,18284,2008,6,18313.01789726307,,1269.7857390965219
6,2008-07-01,2008-07-01,8,Financial intermediation,18662,2008,7,18329.321512459148,17601.249999999996,1185.5534144713274
7,2008-08-01,2008-08-01,8,Financial intermediation,17148,2008,8,16905.711218341505,17629.249999999996,-338.6778633408867
8,2008-09-01,2008-09-01,8,Financial intermediation,17051,2008,9,17104.566610498365,17580.958333333332,-240.57464845114737
9,2008-10-01,2008-10-01,8,Financial intermediation,18755,2008,10,18514.79133476307,17540.999999999996,1068.7231685297484
10,2008-11-01,2008-11-01,8,Financial intermediation,17054,2008,11,17211.944980596407,17483.833333333332,-335.2665030956814
11,2008-12-01,2008-12-01,8,Financial intermediation,16573,2008,12,16917.94758476307,17424.458333333332,-730.6735530417354
12,2009-01-01,2009-01-01,8,Financial intermediation,16976,2009,1,16949.70018892974,17378.708333333332,-800.6442791878508
13,2009-02-01,2009-02-01,8,Financial intermediation,16793,2009,2,16970.187168096403,17387.333333333332,-882.2360081669394
14,2009-03-01,2009-03-01,8,Financial intermediation,17391,2009,3,17411.75227226307,17432.875,-543.140513801096
15,2009-04-01,2009-04-01,8,Financial intermediation,17495,2009,4,17539.08300142974,17392.041666666668,-518.6990125358207
16,2009-05-01,2009-05-01,8,Financial intermediation,17185,2009,5,17198.976230596407,17354.791666666668,-962.1391549175787
17,2009-06-01,2009-06-01,8,Financial intermediation,17737,2009,6,17766.01789726307,17396.333333333332,-498.8955266856501
18,2009-07-01,2009-07-01,8,Financial intermediation,18111,2009,7,17778.321512459148,17443.291666666668,-590.8677161366577
19,2009-08-01,2009-08-01,8,Financial intermediation,17906,2009,8,17663.711218341505,17487.875,-810.2408309372549
20,2009-09-01,2009-09-01,8,Financial intermediation,17386,2009,9,17439.566610498365,17537.833333333336,-1139.6399661582618
21,2009-10-01,2009-10-01,8,Financial intermediation,17440,2009,10,17199.79133476307,17595.791666666664,-1485.1599147671222
22,2009-11-01,2009-11-01,8,Financial intermediation,17475,2009,11,17632.944980596407,17634.583333333332,-1158.23073258558
23,2009-12-01,2009-12-01,8,Financial intermediation,17149,2009,12,17493.94758476307,17673.0,-1403.9105685642062
24,2010-01-01,2010-01-01,8,Financial intermediation,17527,2010,1,17500.70018892974,17713.041666666664,-1504.267629786078
25,2010-02-01,2010-02-01,8,Financial intermediation,17312,2010,2,17489.187168096403,17757.874999999996,-1623.2759573576768
26,2010-03-01,2010-03-01,8,Financial intermediation,18071,2010,3,18091.75227226307,17840.208333333332,-1128.5386103821584
27,2010-04-01,2010-04-01,8,Financial intermediation,18206,2010,4,18250.08300142974,17942.0,-1078.302372685248
28,2010-05-01,2010-05-01,8,Financial intermediation,17405,2010,5,17418.976230596407,18051.666666666664,-2017.6959452330157
29,2010-06-01,2010-06-01,8,Financial intermediation,18439,2010,6,18468.01789726307,18285.625,-1077.0506462571684
30,2010-07-01,2010-07-01,8,Financial intermediation,18370,2010,7,18037.321512459148,18615.833333333332,-1616.1546518184477
31,2010-08-01,2010-08-01,8,Financial intermediation,18723,2010,8,18480.711218341505,18937.75,-1281.077196274171
32,2010-09-01,2010-09-01,8,Financial intermediation,18545,2010,9,18598.566610498365,19261.833333333336,-1271.3195902211846
33,2010-10-01,2010-10-01,8,Financial intermediation,18724,2010,10,18483.79133476307,19559.625,-1493.8492091563094
34,2010-11-01,2010-11-01,8,Financial intermediation,18823,2010,11,18980.944980596407,19895.916666666664,-1103.9676753841886
35,2010-12-01,2010-12-01,8,Financial intermediation,21416,2010,12,21760.94758476307,20253.749999999996,1569.3953627087249
36,2011-01-01,2011-01-01,8,Financial intermediation,21185,2011,1,21158.70018892974,20579.708333333332,861.2997799070399
37,2011-02-01,2011-02-01,8,Financial intermediation,21380,2011,2,21557.187168096403,20913.75,1154.8766747965783
38,2011-03-01,2011-03-01,8,Financial intermediation,21781,2011,3,21801.75227226307,21268.791666666668,1295.6098751315221
39,2011-04-01,2011-04-01,8,Financial intermediation,21643,2011,4,21687.08300142974,21625.791666666668,1078.3180475806075
40,2011-05-01,2011-05-01,8,Financial intermediation,22039,2011,5,22052.976230596407,21981.583333333336,1342.919236822785
41,2011-06-01,2011-06-01,8,Financial intermediation,22393,2011,6,22422.01789726307,22268.833333333332,1612.1122296816902
42,2011-07-01,2011-07-01,8,Financial intermediation,22239,2011,7,21906.321512459148,22384.208333333332,998.1130244792112
43,2011-08-01,2011-08-01,8,Financial intermediation,22871,2011,8,22628.711218341505,22380.291666666668,1623.8358115271149
44,2011-09-01,2011-09-01,8,Financial intermediation,22918,2011,9,22971.566610498365,22363.208333333332,1871.7425330791266
45,2011-10-01,2011-10-01,8,Financial intermediation,22919,2011,10,22678.79133476307,22357.083333333332,1485.8066520367902
46,2011-11-01,2011-11-01,8,Financial intermediation,23167,2011,11,23324.944980596407,22355.541666666664,2040.6431324712612
47,2011-12-01,2011-12-01,8,Financial intermediation,23966,2011,12,24310.94758476307,22345.041666666668,2937.2159212001316
48,2012-01-01,2012-01-01,8,Financial intermediation,21404,2012,1,21377.70018892974,22431.833333333332,-83.54577576024894
