Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,Total_Workers,Share
2009-05-01,6,"Wholesale and retail trade, accommodation and food services",81646,402497,20.28
2009-05-01,7,"Transport, communications and information services",42303,402497,10.51
2009-05-01,8,Financial intermediation,17185,402497,4.27
2009-05-01,9,Real estate and housing services,4180,402497,1.04
2009-05-01,10,Business services,56384,402497,14.01
2009-05-01,11,Personal services,61823,402497,15.36
2009-05-01,12,Public administration,5656,402497,1.41
2009-06-01,1,"Agriculture, forestry and fishing",27123,403559,6.72
2009-06-01,2,Mining,6074,403559,1.51
2009-06-01,3,Manufacturing,46703,403559,11.57
2009-06-01,4,"Electricity, gas, water and waste management",3582,403559,0.89
2009-06-01,5,Construction,52407,403559,12.99
2009-06-01,6,"Wholesale and retail trade, accommodation and food services",81920,403559,20.3
2009-06-01,7,"Transport, communications and information services",42271,403559,10.47
2009-06-01,8,Financial intermediation,17737,403559,4.4
2009-06-01,9,Real estate and housing services,4209,403559,1.04
2009-06-01,10,Business services,56271,403559,13.94
2009-06-01,11,Personal services,62434,403559,15.47
2009-06-01,12,Public administration,5932,403559,1.47
2009-07-01,1,"Agriculture, forestry and fishing",28685,406264,7.06
2009-07-01,2,Mining,5958,406264,1.47
2009-07-01,3,Manufacturing,47011,406264,11.57
2009-07-01,4,"Electricity, gas, water and waste management",3601,406264,0.89
2009-07-01,5,Construction,52478,406264,12.92
2009-07-01,6,"Wholesale and retail trade, accommodation and food services",81182,406264,19.98
2009-07-01,7,"Transport, communications and information services",42492,406264,10.46
